CODEFLD_ID,CODE_ID,LANG_ID,CODE_DESC,FIELD_ID,ENTITY_ID,FIELD_NAM,FIELD_NODE,CODEFLD_ID_1,CODE_ID_1,DISPLAYCOD,ENTITYGRP,SETID,CODEFLD_ID_2,CODE_ID_2,INACTIVE_DT,ALT_DT_1,ALT_DT_2,MAJ_COV,LONG_DESC,SH_DESC,LMOD_USR,LMOD_DT,LMOD_TIM,LONG_DESC2,LONG_DESC3,LONG_DESC4,LONG_DESC5,LONG_DESC6,LONG_DESC7,LONG_DESC8,LONG_DESC9,LONG_DESC10,LONG_DESC11,LONG_DESC12,LONG_DESC13,LONG_DESC14,LONG_DESC15
531,ACE,1,ACE INA Prim. Umbrella Liab,531,43,Carrier,,531,ACE,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,AFM,1,AFFILIATED FM INSURANCE CO.,531,43,Carrier,,531,AFM,AFM,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,AH,1,AMERICAN HOME,531,43,Carrier,,531,AH,AH,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,ALL,1,ALLIANZ INSURANCE,531,43,Carrier,,531,ALL,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,ALLS,1,ALLSPORT INSURANCE LIMITED,531,43,Carrier,,531,ALLS,ALLS,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,AXA,1,AXA PACIFIC,531,43,Carrier,,531,AXA,AXA,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,BA,1,BRITISH AVIATION GROUP CAN,531,43,Carrier,,531,BA,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,CHUB,1,CHUBB INSURANCE,531,43,Carrier,,531,CHUB,CHUB,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,CIGN,1,CIGNA INSURANCE,531,43,Carrier,,531,CIGN,CIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,CLRK,1,Clerk Group,531,43,Carrier,,531,CLRK,CLRK,,,,,,,,,,,,,,,,,,,,,,,,,,,
